date,time,symbol,setup,side,entry,stop,target,exit,pnl,r_multiple,size,bias_weight,reasons,momentum_score,mean_rev_score,vol_cap,pullback_score,exit_time
2023-04-27,2023-04-27T15:05:00-04:00,SPY,momentum_continuation,LONG,412.625,412.135,413.19100000000003,412.24,-190.1899999999955,-0.7857142857142526,494,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T15:15:00-04:00
2023-04-27,2023-04-27T15:15:00-04:00,SPY,momentum_continuation,LONG,412.24,411.76410714285714,412.83307142857143,412.38,61.45999999999401,0.29418386491553755,439,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-27T15:55:00-04:00
2023-04-28,2023-04-28T12:00:00-04:00,SPY,momentum_continuation,LONG,414.76,414.76,415.7370714285714,416.14,393.2999999999987,,285,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-28T16:00:00-04:00
2023-04-28,2023-04-28T16:00:00-04:00,SPY,momentum_continuation,LONG,416.14,415.2753571428571,416.6495714285714,416.15,3.799999999996544,0.011565468814528584,380,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-28T16:00:00-04:00
2023-05-01,2023-05-01T12:00:00-04:00,SPY,momentum_continuation,LONG,416.34,416.34,416.9412142857143,417.225,415.95000000002244,,470,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-01T12:35:00-04:00
2023-05-01,2023-05-01T12:35:00-04:00,SPY,momentum_continuation,LONG,417.225,416.8360714285714,417.65871428571427,416.83,-250.82500000002454,-1.0156106519742936,635,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-01T13:30:00-04:00
2023-05-01,2023-05-01T13:45:00-04:00,SPY,momentum_continuation,LONG,416.895,416.4842857142857,417.39885714285714,416.53,-187.61000000000467,-0.8886956521739527,514,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-01T14:30:00-04:00
2023-05-01,2023-05-01T14:40:00-04:00,SPY,mean_reversion_vwap_bbands,SHORT,415.765,416.1898214285714,415.2222142857143,416.17,-174.55500000001274,-0.9533417402270754,431,0.5,mr_score:0.60,0.0,0.6,0.95,,2023-05-01T15:00:00-04:00
2023-05-02,2023-05-02T12:40:00-04:00,SPY,momentum_continuation,LONG,409.42,409.42,410.23114285714286,410.285,288.91000000000304,,334,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-05-02T13:30:00-04:00
2023-05-02,2023-05-02T13:30:00-04:00,SPY,momentum_continuation,LONG,410.285,410.285,410.815,410.91,273.75,,438,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-05-02T13:50:00-04:00
